Entity,Code,Year,Period life expectancy at birth
Europe,,1968,70.1489
Europe,,1969,69.9561
Europe,,1970,70.286
Europe,,1971,70.4677
Europe,,1972,70.6855
Europe,,1973,70.7999
Europe,,1974,70.9586
Europe,,1975,70.872
Europe,,1976,70.958
Europe,,1977,71.1587
Europe,,1978,71.1905
Europe,,1979,71.2803
Europe,,1980,71.3419
Europe,,1981,71.5498
Europe,,1982,71.8728
Europe,,1983,71.8697
Europe,,1984,72.0095
Europe,,1985,72.2292
Europe,,1986,72.8307
Europe,,1987,73.08
Europe,,1988,73.154
Europe,,1989,73.2036
Europe,,1990,73.1225
Europe,,1991,73.0863
Europe,,1992,72.7633
Europe,,1993,72.1081
Europe,,1994,72.0386
Europe,,1995,72.1815
Europe,,1996,72.7397
Europe,,1997,73.2985
Europe,,1998,73.555
Europe,,1999,73.319
Europe,,2000,73.4418
Europe,,2001,73.6194
Europe,,2002,73.6257
Europe,,2003,73.6757
Europe,,2004,74.1495
Europe,,2005,74.2867
Europe,,2006,74.9033
Europe,,2007,75.3079
Europe,,2008,75.6092
Europe,,2009,76.0592
Europe,,2010,76.2025
Europe,,2011,76.8703
Europe,,2012,77.0615
Europe,,2013,77.4116
Europe,,2014,77.6754
Europe,,2015,77.7767
Europe,,2016,78.1705
Europe,,2017,78.4613
Europe,,2018,78.5281
Europe,,2019,78.7588
Europe,,2020,77.6514
Europe,,2021,77.0357
Europe,,2022,78.1827
Europe,,2023,79.0594
Oceania,,1960,65.0379
Oceania,,1961,65.3832
Oceania,,1962,65.3567
Oceania,,1963,65.6305
Oceania,,1964,65.4632
Oceania,,1965,65.7838
Oceania,,1966,65.8103
Oceania,,1967,66.2996
Oceania,,1968,66.2088
Oceania,,1969,66.7074
Oceania,,1970,66.5796
Oceania,,1971,67.3935
Oceania,,1972,67.749
Oceania,,1973,67.9813
Oceania,,1974,68.0113
Oceania,,1975,68.7236
Oceania,,1976,68.844
Oceania,,1977,69.3657
Oceania,,1978,69.7675
Oceania,,1979,70.2129
Oceania,,1980,70.4159
Oceania,,1981,70.7848
Oceania,,1982,70.8354
Oceania,,1983,71.4012
Oceania,,1984,71.5888
Oceania,,1985,71.549
Oceania,,1986,72.0337
Oceania,,1987,72.1179
Oceania,,1988,72.397
Oceania,,1989,72.4276
Oceania,,1990,73.1192
Oceania,,1991,73.5037
Oceania,,1992,73.5624
Oceania,,1993,73.9415
Oceania,,1994,73.9052
Oceania,,1995,74.1626
Oceania,,1996,74.2112
Oceania,,1997,74.4624
Oceania,,1998,74.5577
Oceania,,1999,74.9382
Oceania,,2000,75.2237
Oceania,,2001,75.4182
Oceania,,2002,75.4028
Oceania,,2003,75.6917
Oceania,,2004,75.8982
Oceania,,2005,76.2345
Oceania,,2006,76.3552
Oceania,,2007,76.4053
Oceania,,2008,76.6292
Oceania,,2009,76.8951
Oceania,,2010,77.2291
Oceania,,2011,77.3077
Oceania,,2012,77.485
Oceania,,2013,77.7918
Oceania,,2014,77.782
Oceania,,2015,77.925
Oceania,,2016,78.1608
Oceania,,2017,78.1272
Oceania,,2018,78.5383
Oceania,,2019,78.5668
Oceania,,2020,78.8495
Oceania,,2021,78.4519
Oceania,,2022,78.0631
Oceania,,2023,79.1464
World,OWID_WRL,1960,47.8198
World,OWID_WRL,1961,50.3459
World,OWID_WRL,1962,53.2416
World,OWID_WRL,1963,53.7161
World,OWID_WRL,1964,54.2603
World,OWID_WRL,1965,53.9975
World,OWID_WRL,1966,54.5644
World,OWID_WRL,1967,55.0678
World,OWID_WRL,1968,55.6181
World,OWID_WRL,1969,55.9999
World,OWID_WRL,1970,56.2664
World,OWID_WRL,1971,56.0193
World,OWID_WRL,1972,57.2155
World,OWID_WRL,1973,57.6923
World,OWID_WRL,1974,58.0614
World,OWID_WRL,1975,58.2681
World,OWID_WRL,1976,58.5754
World,OWID_WRL,1977,59.1539
World,OWID_WRL,1978,59.5129
World,OWID_WRL,1979,60.1571
World,OWID_WRL,1980,60.502
World,OWID_WRL,1981,60.9187
World,OWID_WRL,1982,61.3435
World,OWID_WRL,1983,61.5211
World,OWID_WRL,1984,61.8663
World,OWID_WRL,1985,62.2092
World,OWID_WRL,1986,62.7297
World,OWID_WRL,1987,63.1809
World,OWID_WRL,1988,63.3672
World,OWID_WRL,1989,63.7817
World,OWID_WRL,1990,63.955
World,OWID_WRL,1991,64.0642
World,OWID_WRL,1992,64.2879
World,OWID_WRL,1993,64.4334
World,OWID_WRL,1994,64.2995
World,OWID_WRL,1995,64.8817
World,OWID_WRL,1996,65.1995
World,OWID_WRL,1997,65.5406
World,OWID_WRL,1998,65.7408
World,OWID_WRL,1999,66.0412
World,OWID_WRL,2000,66.4333
World,OWID_WRL,2001,66.7531
World,OWID_WRL,2002,67.068
World,OWID_WRL,2003,67.4015
World,OWID_WRL,2004,67.7449
World,OWID_WRL,2005,68.1405
World,OWID_WRL,2006,68.6137
World,OWID_WRL,2007,69.0316
World,OWID_WRL,2008,69.3017
World,OWID_WRL,2009,69.6812
World,OWID_WRL,2010,70.089
World,OWID_WRL,2011,70.4033
World,OWID_WRL,2012,70.824
World,OWID_WRL,2013,71.1417
World,OWID_WRL,2014,71.4038
World,OWID_WRL,2015,71.606
World,OWID_WRL,2016,71.8768
World,OWID_WRL,2017,72.067
World,OWID_WRL,2018,72.3885
World,OWID_WRL,2019,72.6093
World,OWID_WRL,2020,71.9166
World,OWID_WRL,2021,70.865
World,OWID_WRL,2022,72.6398
World,OWID_WRL,2023,73.1694
