measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Number,1983,5060961.908456062,5749005.133352203,4432595.705268171
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Percent,1983,0.10896965356512431,0.12400355863529368,0.09592707004384224
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Rate,1983,107.21994623760709,121.79661346350579,93.90757761243222
Deaths,Global,Both,All ages,Enteric infections,Number,1983,4264593.583333798,5030141.8652292695,3652785.552794769
Deaths,Global,Both,All ages,Enteric infections,Percent,1983,0.09182950154508543,0.10824255033365014,0.07852007480314113
Deaths,Global,Both,All ages,Enteric infections,Rate,1983,90.34833752972976,106.5670025012994,77.38676513920709
Deaths,Global,Both,All ages,Cardiovascular diseases,Number,1980,12116559.677863566,13048721.935878983,11028298.8727517
Deaths,Global,Both,All ages,Cardiovascular diseases,Percent,1980,0.26351218739163945,0.28283922623788893,0.2390959660931385
Deaths,Global,Both,All ages,Cardiovascular diseases,Rate,1980,271.10936135056954,291.9665948528623,246.75940561224596
Deaths,Global,Both,All ages,Other infectious diseases,Number,1983,3280949.3896758114,4080654.080124157,2481497.4337413125
Deaths,Global,Both,All ages,Other infectious diseases,Percent,1983,0.07064286115829027,0.08815349897549193,0.05322214618626919
Deaths,Global,Both,All ages,Other infectious diseases,Rate,1983,69.50916120936938,86.45145310304444,52.57222366956549
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Number,1983,3787258.5762088355,4034420.0207443447,3569271.8946762825
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Percent,1983,0.08154660610227958,0.08672478757302074,0.07668413253806783
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Rate,1983,80.23566829273096,85.47195287152381,75.61747106121595
Deaths,Global,Both,All ages,Substance use disorders,Number,1983,159043.67370068672,176960.24395655133,143182.06616680537
Deaths,Global,Both,All ages,Substance use disorders,Percent,1983,0.0034244666431400613,0.003809381753028462,0.003073648960103826
Deaths,Global,Both,All ages,Substance use disorders,Rate,1983,3.3694492177715993,3.7490240366190597,3.033410192426789
Deaths,Global,Both,All ages,Diabetes and kidney diseases,Number,1983,1102529.8000885732,1241091.5813199275,970423.4726690658
Deaths,Global,Both,All ages,Diabetes and kidney diseases,Percent,1983,0.023738988663363547,0.026626615695812768,0.02095418367407044
Deaths,Global,Both,All ages,Diabetes and kidney diseases,Rate,1983,23.3578493632487,26.293375653100806,20.559086286233484
Deaths,Global,Both,All ages,Neglected tropical diseases and malaria,Number,1980,936243.0870930222,1453959.2002547241,624801.4536306344
Deaths,Global,Both,All ages,Neglected tropical diseases and malaria,Percent,1980,0.020362927102885293,0.03171489720912996,0.013567703951703406
Deaths,Global,Both,All ages,Neglected tropical diseases and malaria,Rate,1980,20.948542503727463,32.53249772961517,13.980001548969065
Deaths,Global,Both,All ages,Chronic respiratory diseases,Number,1980,1814284.9232561572,2128280.8582784827,1420968.5232765703
Deaths,Global,Both,All ages,Chronic respiratory diseases,Percent,1980,0.039456052793136215,0.04612626565456711,0.030950600419076248
Deaths,Global,Both,All ages,Chronic respiratory diseases,Rate,1980,40.594825588204586,47.62051932254913,31.794327687634468
Deaths,Global,Both,All ages,Nutritional deficiencies,Number,1980,584706.1305336171,732001.551288947,467019.3116063806
Deaths,Global,Both,All ages,Nutritional deficiencies,Percent,1980,0.012715904280312936,0.015874456541912135,0.010164285895754532
Deaths,Global,Both,All ages,Nutritional deficiencies,Rate,1980,13.082864265203902,16.378615576840414,10.449608690435916
Deaths,Global,Both,All ages,Digestive diseases,Number,1980,1625709.9248064936,1888252.4692406976,1410360.1015728717
Deaths,Global,Both,All ages,Digestive diseases,Percent,1980,0.035355279377556594,0.04095191112676958,0.030707036906032853
Deaths,Global,Both,All ages,Digestive diseases,Rate,1980,36.375439165359225,42.24985760106004,31.556963080065074
Deaths,Global,Both,All ages,Unintentional injuries,Number,1980,1840056.1664523222,2030987.2427211362,1634109.864657295
Deaths,Global,Both,All ages,Unintentional injuries,Percent,1980,0.0400186928806513,0.044284777669823375,0.0355398329964146
Deaths,Global,Both,All ages,Unintentional injuries,Rate,1980,41.17146000175736,45.443563926090334,36.563388747491416
Deaths,Global,Both,All ages,Skin and subcutaneous diseases,Number,1980,35165.48232951806,45357.660344616066,25928.22581888986
Deaths,Global,Both,All ages,Skin and subcutaneous diseases,Percent,1980,0.0007648252138226215,0.0009885692266772283,0.0005639212364146936
Deaths,Global,Both,All ages,Skin and subcutaneous diseases,Rate,1980,0.7868315519757663,1.0148826610288397,0.5801469170786955
Deaths,Global,Both,All ages,Self-harm and interpersonal violence,Number,1980,997998.3999799448,1187376.756034467,880020.3101228905
Deaths,Global,Both,All ages,Self-harm and interpersonal violence,Percent,1980,0.021703119073002142,0.025720406687501224,0.019102825927751595
Deaths,Global,Both,All ages,Self-harm and interpersonal violence,Rate,1980,22.330324451895958,26.567686089899695,19.69055165789557
Deaths,Global,Both,All ages,Transport injuries,Number,1980,1103701.2099389567,1354942.321808047,828711.4288552534
Deaths,Global,Both,All ages,Transport injuries,Percent,1980,0.024004213411551893,0.029409172543783543,0.018095968285228036
Deaths,Global,Both,All ages,Transport injuries,Rate,1980,24.69543650208486,30.316984135632776,18.542509771262118
Deaths,Global,Both,All ages,Neglected tropical diseases and malaria,Number,1983,947397.715625862,1534858.3860537184,598520.1694283553
Deaths,Global,Both,All ages,Neglected tropical diseases and malaria,Percent,1983,0.02039989581595257,0.03291065517703216,0.012993267180149768
Deaths,Global,Both,All ages,Neglected tropical diseases and malaria,Rate,1983,20.071269844041424,32.517026725700866,12.680059946906194
Deaths,Global,Both,All ages,Chronic respiratory diseases,Number,1983,1930898.1176932754,2254350.5853985124,1521427.6078420607
Deaths,Global,Both,All ages,Chronic respiratory diseases,Percent,1983,0.04157585700398907,0.048329883068102944,0.032840236242695144
Deaths,Global,Both,All ages,Chronic respiratory diseases,Rate,1983,40.90739984101719,47.759962026840206,32.23248648536098
Deaths,Global,Both,All ages,Nutritional deficiencies,Number,1983,765024.9973102664,911988.982968633,646462.4560467927
Deaths,Global,Both,All ages,Nutritional deficiencies,Percent,1983,0.01647185569882489,0.019661721163761244,0.013910091345720618
Deaths,Global,Both,All ages,Nutritional deficiencies,Rate,1983,16.207578829032446,19.32111157758491,13.695750143101522
Deaths,Global,Both,All ages,Neurological disorders,Number,1980,687449.4883306215,1430644.9791599757,345509.44434120506
Deaths,Global,Both,All ages,Neurological disorders,Percent,1980,0.014949596457798989,0.031010719145625205,0.007499995411600568
Deaths,Global,Both,All ages,Neurological disorders,Rate,1980,15.381758246326958,32.010839457017305,7.730811986761133
Deaths,Global,Both,All ages,Mental disorders,Number,1980,125.47535590348073,232.67409434813058,54.686583616834724
Deaths,Global,Both,All ages,Mental disorders,Percent,1980,2.7288683575155963e-06,5.0848867093975915e-06,1.1886813461343568e-06
Deaths,Global,Both,All ages,Mental disorders,Rate,1980,0.0028075249500381406,0.005206108565353623,0.0012236183498432422
Deaths,Global,Both,All ages,Neoplasms,Number,1986,5380637.89004181,5717487.219006463,5131655.324332907
Deaths,Global,Both,All ages,Neoplasms,Percent,1986,0.11475648891284901,0.12143322729269503,0.10952089752552482
Deaths,Global,Both,All ages,Neoplasms,Rate,1986,107.92949980008723,114.68631568811334,102.93519162974208
Deaths,Global,Both,All ages,Neurological disorders,Number,1983,756500.3729637137,1558503.789602049,377041.41694514814
Deaths,Global,Both,All ages,Neurological disorders,Percent,1983,0.016285134547019152,0.03335342108023412,0.008076874989137554
Deaths,Global,Both,All ages,Neurological disorders,Rate,1983,16.02697882044399,33.01797080373918,7.987880799233819
Deaths,Global,Both,All ages,Mental disorders,Number,1983,132.23040231356475,244.25713593433338,58.643215592601535
Deaths,Global,Both,All ages,Mental disorders,Percent,1983,2.8468242547968447e-06,5.26436051995396e-06,1.2690534516885172e-06
Deaths,Global,Both,All ages,Mental disorders,Rate,1983,0.002801391688672623,0.0051747548107945705,0.0012423967097111217
Deaths,Global,Both,All ages,Neglected tropical diseases and malaria,Number,1986,1006462.2445069125,1604352.4335800789,644348.4911267215
Deaths,Global,Both,All ages,Neglected tropical diseases and malaria,Percent,1986,0.021465230396366525,0.03412178122720343,0.013699056786704982
Deaths,Global,Both,All ages,Neglected tropical diseases and malaria,Rate,1986,20.18849230094911,32.18149208290339,12.924900683793753
Deaths,Global,Both,All ages,Chronic respiratory diseases,Number,1986,2045365.2582176367,2359657.3134012846,1614968.423609495
Deaths,Global,Both,All ages,Chronic respiratory diseases,Percent,1986,0.0436227170917641,0.05019963507281029,0.03468605937477271
Deaths,Global,Both,All ages,Chronic respiratory diseases,Rate,1986,41.027709676666305,47.33205221008457,32.39443681495424
Deaths,Global,Both,All ages,Digestive diseases,Number,1983,1677039.890187339,1956875.5933757515,1443267.0568946616
Deaths,Global,Both,All ages,Digestive diseases,Percent,1983,0.036109269528498494,0.042058685695799965,0.031034496657062188
Deaths,Global,Both,All ages,Digestive diseases,Rate,1983,35.52923932578338,41.457750465354025,30.57660165119939
Deaths,Global,Both,All ages,Unintentional injuries,Number,1983,1785338.6608749998,1976245.5751132637,1590411.8160605049
Deaths,Global,Both,All ages,Unintentional injuries,Percent,1983,0.03844155260203672,0.04261152624306001,0.03434727620476569
Deaths,Global,Both,All ages,Unintentional injuries,Rate,1983,37.82362299844614,41.8681168024429,33.69396421038932
Deaths,Global,Both,All ages,Digestive diseases,Number,1986,1734963.3396791979,2007713.384815256,1516841.0846849792
Deaths,Global,Both,All ages,Digestive diseases,Percent,1986,0.03700293853585868,0.04272238335663931,0.03211253237369841
Deaths,Global,Both,All ages,Digestive diseases,Rate,1986,34.801398876817856,40.272455755867036,30.426113574611765
Deaths,Global,Both,All ages,Unintentional injuries,Number,1986,1769899.8142135288,1968226.0933670143,1558415.4826546237
Deaths,Global,Both,All ages,Unintentional injuries,Percent,1986,0.037747833709785655,0.04193513233779931,0.033252207782573005
Deaths,Global,Both,All ages,Unintentional injuries,Rate,1986,35.50218497287671,39.48038542860034,31.26004889400168
Deaths,Global,Both,All ages,Self-harm and interpersonal violence,Number,1986,1253070.5698293836,1581561.0315698585,1109650.8092296314
Deaths,Global,Both,All ages,Self-harm and interpersonal violence,Percent,1986,0.026720687375029323,0.03361006585480175,0.023704576689195414
Deaths,Global,Both,All ages,Self-harm and interpersonal violence,Rate,1986,25.13517589916179,31.72432238128523,22.25833799642397
Deaths,Global,Both,All ages,Self-harm and interpersonal violence,Number,1983,1130830.172030442,1410281.4933604337,983908.425090828
Deaths,Global,Both,All ages,Self-harm and interpersonal violence,Percent,1983,0.024345554237706884,0.030260369288672224,0.021233836630463278
Deaths,Global,Both,All ages,Self-harm and interpersonal violence,Rate,1983,23.95741213668936,29.87777988317782,20.84477424433928
Deaths,Global,Both,All ages,Cardiovascular diseases,Number,1983,12319655.99625797,13243411.965250157,11237571.263602179
Deaths,Global,Both,All ages,Cardiovascular diseases,Percent,1983,0.26526748446154,0.28544204935965356,0.24153254100943852
Deaths,Global,Both,All ages,Cardiovascular diseases,Rate,1983,261.0003547700206,280.5707580102665,238.07564817105614
Deaths,Global,Both,All ages,Skin and subcutaneous diseases,Number,1983,37950.35354994596,49715.518980943285,28884.782859399475
Deaths,Global,Both,All ages,Skin and subcutaneous diseases,Percent,1983,0.000817176587692974,0.0010758375865056674,0.0006249241771702865
Deaths,Global,Both,All ages,Skin and subcutaneous diseases,Rate,1983,0.8040042468062579,1.0532573389665427,0.6119439192172395
Deaths,Global,Both,All ages,Nutritional deficiencies,Number,1986,582781.7024708173,747435.5468190318,467830.8040948827
Deaths,Global,Both,All ages,Nutritional deficiencies,Percent,1986,0.01242960582831726,0.01593874519450574,0.009964217424243802
Deaths,Global,Both,All ages,Nutritional deficiencies,Rate,1986,11.68994065865856,14.992710223128563,9.384155876849189
Deaths,Global,Both,All ages,Neoplasms,Number,1982,4954714.090018249,5298795.372997997,4714864.198071883
Deaths,Global,Both,All ages,Neoplasms,Percent,1982,0.10787908819731505,0.11546250822241416,0.10263219916918152
Deaths,Global,Both,All ages,Neoplasms,Rate,1982,106.89906310163623,114.32269363068032,101.72424811367381
Deaths,Global,Both,All ages,Musculoskeletal disorders,Number,1986,56649.483786593504,67603.39772552959,46502.25009885393
Deaths,Global,Both,All ages,Musculoskeletal disorders,Percent,1986,0.0012081889296780162,0.001441689723837045,0.0009897903902894422
Deaths,Global,Both,All ages,Musculoskeletal disorders,Rate,1986,1.1363244607736787,1.356047563580991,0.9327824498349322
Deaths,Global,Both,All ages,Other non-communicable diseases,Number,1986,1111712.2107357145,1317022.5953100163,970654.5780078655
Deaths,Global,Both,All ages,Other non-communicable diseases,Percent,1986,0.023710531741305538,0.02810098094101576,0.020675404576184095
Deaths,Global,Both,All ages,Other non-communicable diseases,Rate,1986,22.299687375063705,26.417981072522643,19.47023108114038
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,1986,184500.60669668796,263266.5878411342,134762.93108414233
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Percent,1986,0.003935109179317773,0.0055923370733138396,0.0028500636097553438
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,1986,3.7008731307565155,5.2808294704902625,2.7031917108609003
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Number,1986,5012532.295602407,5663818.907038183,4449555.264954847
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Percent,1986,0.10690709764878313,0.12107236596060528,0.09521732222333638
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Rate,1986,100.5457186400527,113.60979015634105,89.25303725943346
Deaths,Global,Both,All ages,Enteric infections,Number,1986,4130660.581197489,4965926.832774977,3521895.648811452
Deaths,Global,Both,All ages,Enteric infections,Percent,1986,0.08809997265966159,0.10637286728116553,0.07551832051496056
Deaths,Global,Both,All ages,Enteric infections,Rate,1986,82.85637121161449,99.61086585982277,70.64523639991128
Deaths,Global,Both,All ages,Neurological disorders,Number,1986,836717.8095314373,1712943.2422896181,416334.75721603783
Deaths,Global,Both,All ages,Neurological disorders,Percent,1986,0.017847496547676724,0.036471405434150575,0.008788994809624202
Deaths,Global,Both,All ages,Neurological disorders,Rate,1986,16.783611256146248,34.35970067199996,8.35120352158999
Deaths,Global,Both,All ages,Mental disorders,Number,1986,137.29139991551335,255.1725246875369,64.02783730368367
Deaths,Global,Both,All ages,Mental disorders,Percent,1986,2.928255935981774e-06,5.479375472134277e-06,1.3623078845098542e-06
Deaths,Global,Both,All ages,Mental disorders,Rate,1986,0.00275390993085765,0.005118471734219835,0.00128432587263631
Deaths,Global,Both,All ages,Transport injuries,Number,1983,1123643.7694197372,1370881.965136661,856912.4025178768
Deaths,Global,Both,All ages,Transport injuries,Percent,1983,0.024193384635444615,0.029537374688148994,0.0185380823176412
Deaths,Global,Both,All ages,Transport injuries,Rate,1983,23.805163272639582,29.043073877807245,18.154276477519357
Deaths,Global,Both,All ages,Other infectious diseases,Number,1986,3052501.858626493,3804832.9304338885,2305554.794580639
Deaths,Global,Both,All ages,Other infectious diseases,Percent,1986,0.06510431602284661,0.0814097559374597,0.04895326683495519
Deaths,Global,Both,All ages,Other infectious diseases,Rate,1986,61.22972879296178,76.32063770071667,46.2468169808111
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Number,1986,3725309.7086899704,3912675.9419387127,3534039.895399123
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Percent,1986,0.07945296572729667,0.08379001069826801,0.07555582388835688
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Rate,1986,74.72549197251276,78.48384632514248,70.88883622700281
Deaths,Global,Both,All ages,Substance use disorders,Number,1986,148969.49686739594,167160.9524152095,133803.98845374078
Deaths,Global,Both,All ages,Substance use disorders,Percent,1986,0.0031772602209885733,0.0035714906967112174,0.0028522256679168498
Deaths,Global,Both,All ages,Substance use disorders,Rate,1986,2.988159324403776,3.353059311735164,2.683956408179081
Deaths,Global,Both,All ages,Diabetes and kidney diseases,Number,1986,1162881.4410114456,1316112.3159724732,1027239.7369434019
Deaths,Global,Both,All ages,Diabetes and kidney diseases,Percent,1986,0.024801293096159298,0.028139184387493275,0.02197530420946461
Deaths,Global,Both,All ages,Diabetes and kidney diseases,Rate,1986,23.326084159548344,26.399721900359957,20.605265258282042
Deaths,Global,Both,All ages,Cardiovascular diseases,Number,1986,12471069.819423558,13370876.71410024,11451769.605319139
Deaths,Global,Both,All ages,Cardiovascular diseases,Percent,1986,0.26597964751961356,0.28526936113304496,0.2433997608133812
Deaths,Global,Both,All ages,Cardiovascular diseases,Rate,1986,250.15553082905726,268.20463765314986,229.7095234034291
Deaths,Global,Both,All ages,Musculoskeletal disorders,Number,1982,51042.830789662556,61637.82960193053,41670.39478442156
Deaths,Global,Both,All ages,Musculoskeletal disorders,Percent,1982,0.0011113491829629228,0.0013445842224205503,0.0009082900471485344
Deaths,Global,Both,All ages,Musculoskeletal disorders,Rate,1982,1.1012604744364136,1.3298499401486974,0.8990480743387493
Deaths,Global,Both,All ages,Other non-communicable diseases,Number,1982,1064716.955669786,1258772.521830191,919687.078251446
Deaths,Global,Both,All ages,Other non-communicable diseases,Percent,1982,0.02318198420516178,0.027346688918216924,0.019958920369735685
Deaths,Global,Both,All ages,Other non-communicable diseases,Rate,1982,22.97150611754215,27.158298298749216,19.842454120576452
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,1982,109213.47902082177,184666.54863134242,61816.38979180539
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Percent,1982,0.002377672132817531,0.004037485407097757,0.0013446423054231365
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,1982,2.3563052021338855,3.9842220310295535,1.3337024161257327
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Number,1982,5049523.702930487,5715595.745979191,4430614.601660052
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Percent,1982,0.10994104908931843,0.12423563570160225,0.09651430585803956
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Rate,1982,108.94460167544925,123.31525476793415,95.59149958542707
Deaths,Global,Both,All ages,Enteric infections,Number,1982,4317123.109746393,5073902.584984033,3684024.0074504297
Deaths,Global,Both,All ages,Enteric infections,Percent,1982,0.09400099803621162,0.11079174204207617,0.0803358823766699
Deaths,Global,Both,All ages,Enteric infections,Rate,1982,93.14289529965835,109.47058150065038,79.48364076824784
Deaths,Global,Both,All ages,Neoplasms,Number,1985,5288607.058386623,5627870.256738592,5027488.913680367
Deaths,Global,Both,All ages,Neoplasms,Percent,1985,0.11272771225071196,0.11968169057767829,0.10748475461377772
Deaths,Global,Both,All ages,Neoplasms,Rate,1985,108.01774291149904,114.94706182937985,102.6845063308611
Deaths,Global,Both,All ages,Skin and subcutaneous diseases,Number,1986,42710.61454530324,55788.35698432226,32735.961550315078
Deaths,Global,Both,All ages,Skin and subcutaneous diseases,Percent,1986,0.0009108942731858914,0.0011851544040060679,0.0006999005905740596
Deaths,Global,Both,All ages,Skin and subcutaneous diseases,Rate,1986,0.8567265365618366,1.119051232778613,0.6566462987853916
Deaths,Global,Both,All ages,Other infectious diseases,Number,1982,3348925.923960876,4225976.503907426,2551207.3882336416
Deaths,Global,Both,All ages,Other infectious diseases,Percent,1982,0.07291493479280109,0.09142309903603163,0.05546651503694998
Deaths,Global,Both,All ages,Other infectious diseases,Rate,1982,72.25382477455538,91.1763869215647,55.042869199975215
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Number,1982,3784942.1205824944,4052515.876600407,3559815.7674841136
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Percent,1982,0.08240864010463388,0.0882277805271697,0.07736042649202203
Deaths,Global,Both,All ages,Maternal and neonatal disorders,Rate,1982,81.6609715986052,87.43393514589137,76.80382024971343
Deaths,Global,Both,All ages,Substance use disorders,Number,1982,156385.7848701091,174754.16439350095,140996.57540451316
Deaths,Global,Both,All ages,Substance use disorders,Percent,1982,0.00340491452202105,0.0038209755976969287,0.0030527976020755425
Deaths,Global,Both,All ages,Substance use disorders,Rate,1982,3.374058236520187,3.770360127218919,3.042032605200466
Deaths,Global,Both,All ages,Diabetes and kidney diseases,Number,1982,1076549.8860569575,1211572.0270460374,946587.3898758353
Deaths,Global,Both,All ages,Diabetes and kidney diseases,Percent,1982,0.023439374781238045,0.026279691702098137,0.020627761014939093
Deaths,Global,Both,All ages,Diabetes and kidney diseases,Rate,1982,23.226804233468513,26.139937081797328,20.42283435191664
Deaths,Global,Both,All ages,Transport injuries,Number,1986,1177686.671534709,1404173.2035348904,904762.4780376257
Deaths,Global,Both,All ages,Transport injuries,Percent,1986,0.02511679632758014,0.02996009519726341,0.019391475258197708
Deaths,Global,Both,All ages,Transport injuries,Rate,1986,23.6230603094874,28.166123531689493,18.14851021162651
Deaths,Global,Both,All ages,Musculoskeletal disorders,Number,1985,55638.61117042517,66251.2183066917,45699.20433902469
Deaths,Global,Both,All ages,Musculoskeletal disorders,Percent,1985,0.0011859613661111348,0.0014147443788569821,0.0009707903715070947
Deaths,Global,Both,All ages,Musculoskeletal disorders,Rate,1985,1.1363970003839314,1.3531553748689695,0.9333884803796977
Deaths,Global,Both,All ages,Other non-communicable diseases,Number,1985,1104126.0484797277,1308727.8502658643,966003.5544964029
Deaths,Global,Both,All ages,Other non-communicable diseases,Percent,1985,0.02353518916964837,0.02788935331996743,0.020545299690646102
Deaths,Global,Both,All ages,Other non-communicable diseases,Rate,1985,22.5513452464658,26.730257497002057,19.730247010073594
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Number,1985,155469.45544476697,234366.64930763512,106303.4919938687
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Percent,1985,0.0033140402181817325,0.0049912080147388,0.002267468746851137
Deaths,Global,Both,All ages,HIV/AIDS and sexually transmitted infections,Rate,1985,3.1754031795938955,4.7868476883333795,2.17120749226003
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Number,1985,5040575.499058356,5724564.646430212,4460259.010182804
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Percent,1985,0.10744012219732887,0.12147662587950604,0.09509947906512954
Deaths,Global,Both,All ages,Respiratory infections and tuberculosis,Rate,1985,102.95179474902919,116.92200714321832,91.0990560958032
Deaths,Global,Both,All ages,Enteric infections,Number,1985,4187985.0504319184,4990251.557622106,3577585.4482821994
Deaths,Global,Both,All ages,Enteric infections,Percent,1985,0.08927345667978293,0.10653486458470413,0.07614241014075311
Deaths,Global,Both,All ages,Enteric infections,Rate,1985,85.53796633035573,101.9239478115764,73.0707917850788
Deaths,Global,Both,All ages,Other infectious diseases,Number,1985,3151110.5917130467,3949754.901001288,2358436.4403924244
